state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Madhya Pradesh,23.2051,77.3391,215.4,4.2,0.25,0.674,-0.158,25.4,0.455,1009.7,7.1,25.7,291.06,gondite_archean,0.481
Andhra Pradesh,18.7957,83.3135,709.9,5.9,0.22,0.162,0.052,29.3,0.441,511.8,58.2,4.68,465.01,kodurite_archean,0.26
Maharashtra,19.5825,80.1263,570.7,8.2,0.86,0.527,0.198,28.7,0.632,701.0,23.5,5.35,183.36,gondite_archean,0.62
Odisha,21.3804,84.7556,896.5,17.3,1.56,0.49,0.25,34.8,0.77,701.9,32.6,1.71,475.36,gondite_archean,0.68
Karnataka,13.5978,78.1594,368.3,33.4,1.69,0.529,0.026,24.1,0.424,610.5,6.0,12.04,845.54,archean,0.492
Odisha,19.9937,84.9222,841.3,25.2,1.37,0.46,-0.249,37.8,0.412,971.5,15.3,27.01,531.95,gondite_archean,0.466
Odisha,21.4441,84.3591,674.0,27.4,2.09,0.519,0.235,23.3,0.419,622.3,60.8,1.91,433.79,gondite_archean,0.571
Odisha,20.3439,84.9389,287.5,1.7,2.66,0.729,-0.095,27.4,0.525,834.2,49.2,7.66,519.62,gondite_archean,0.509
Odisha,21.3676,84.5812,395.0,27.2,2.47,0.39,0.268,28.5,0.549,1091.3,50.7,1.79,457.59,gondite_archean,0.576
Andhra Pradesh,18.7752,83.0783,861.8,2.7,0.62,0.473,0.045,32.3,0.475,455.3,21.8,13.84,446.37,kodurite_archean,0.308
Odisha,21.126,85.1085,499.2,3.5,2.12,0.452,0.159,29.8,0.609,587.6,41.8,7.6,515.47,gondite_archean,0.482
Odisha,22.387,85.3143,158.3,22.3,0.91,0.632,0.191,37.7,0.188,805.7,24.5,6.33,532.97,gondite_archean,0.486
Madhya Pradesh,21.3132,77.3439,782.6,30.1,0.48,0.204,-0.142,36.0,0.607,647.8,44.7,3.52,181.89,gondite_archean,0.438
Maharashtra,19.5842,79.7784,288.5,25.3,2.65,0.226,0.22,31.5,0.536,574.2,50.8,11.38,176.84,gondite_archean,0.419
Odisha,21.0184,86.3512,848.9,18.5,2.86,0.471,-0.063,35.6,0.167,616.4,68.6,14.27,644.69,gondite_archean,0.458
Karnataka,14.1664,76.4677,558.2,9.1,2.42,0.442,-0.1,23.7,0.414,555.9,-18.5,0.29,824.67,archean,0.336
Karnataka,15.5367,76.7068,385.2,16.2,2.9,0.376,-0.145,25.9,0.71,608.5,45.4,0.17,672.89,archean,0.383
Karnataka,17.0431,75.8549,551.0,8.0,2.28,0.181,0.212,25.2,0.479,833.4,5.3,18.91,569.23,archean,0.42
Odisha,20.0356,85.2256,165.6,7.7,2.84,0.736,-0.074,36.8,0.355,846.5,63.6,36.17,559.54,gondite_archean,0.576
Odisha,21.5162,83.6821,190.9,1.1,3.0,0.631,0.172,30.2,0.463,687.1,17.5,11.29,363.29,gondite_archean,0.385
Madhya Pradesh,21.2712,74.1442,181.9,15.0,2.81,0.532,0.181,29.5,0.463,722.6,45.8,1.47,512.85,gondite_archean,0.529
Karnataka,15.1679,77.0004,856.9,20.7,1.71,0.18,-0.262,25.0,0.439,743.1,21.9,2.87,700.82,archean,0.389
Odisha,20.6169,84.3913,491.2,14.9,2.96,0.184,-0.215,22.8,0.496,810.2,39.5,5.99,455.93,gondite_archean,0.547
Madhya Pradesh,21.5978,75.5815,355.1,21.2,0.79,0.22,0.282,22.4,0.63,902.8,19.8,1.26,366.68,gondite_archean,0.462
Maharashtra,20.607,80.0655,850.0,24.5,0.64,0.296,0.205,25.3,0.584,695.5,57.1,8.4,76.04,gondite_archean,0.516
Odisha,22.3436,84.405,369.8,14.7,0.34,0.448,-0.226,28.4,0.705,647.7,27.6,3.65,439.52,gondite_archean,0.52
Karnataka,12.9842,77.6938,665.8,7.5,1.23,0.213,0.077,23.9,0.68,287.8,31.6,1.53,920.02,archean,0.423
Karnataka,17.4804,77.0769,620.6,30.5,2.7,0.702,-0.243,30.7,0.624,822.0,0.3,12.77,459.46,archean,0.444
Maharashtra,19.2153,79.4276,239.2,12.5,0.25,0.39,0.03,31.9,0.676,874.3,29.2,15.26,217.99,gondite_archean,0.486
Odisha,22.4243,86.4489,500.7,34.4,0.47,0.332,0.083,27.6,0.825,1019.9,6.9,3.63,649.47,gondite_archean,0.564
Andhra Pradesh,17.7924,84.1537,550.1,26.9,2.2,0.275,0.041,35.9,0.528,496.0,-11.6,3.95,603.2,kodurite_archean,0.249
Jharkhand,22.6394,86.7362,805.0,12.9,0.43,0.585,-0.113,34.5,0.433,94.1,15.0,4.68,681.24,archean,0.417
Karnataka,14.3877,76.6038,747.0,13.3,1.67,0.552,-0.138,26.4,0.537,716.2,75.2,0.24,796.62,archean,0.535
Madhya Pradesh,22.7833,78.366,387.5,3.8,0.74,0.72,-0.055,29.5,0.598,1136.5,-2.4,10.92,196.36,gondite_archean,0.534
Odisha,20.0698,85.1125,329.0,9.4,2.01,0.541,0.195,28.7,0.539,714.7,39.8,9.9,547.15,gondite_archean,0.515
Odisha,21.0546,83.6314,555.4,32.3,2.91,0.474,-0.025,37.1,0.503,817.8,-1.4,5.08,366.72,gondite_archean,0.451
Karnataka,15.7839,75.9271,231.4,18.1,2.52,0.548,-0.097,37.0,0.548,840.3,17.1,2.27,683.52,archean,0.431
Karnataka,16.0853,76.729,694.1,10.5,1.78,0.203,-0.052,34.0,0.518,299.7,12.2,15.56,615.63,archean,0.201
Maharashtra,21.2061,78.907,798.7,3.0,2.69,0.347,-0.111,30.2,0.673,702.1,6.6,4.42,19.97,gondite_archean,0.503
Karnataka,17.9502,77.5477,504.1,34.6,1.5,0.185,-0.143,29.0,0.427,837.9,68.5,22.68,390.77,archean,0.443
Goa,15.4122,74.1873,549.7,19.8,0.52,0.226,0.018,26.3,0.45,335.2,21.9,5.3,821.4,laterite,0.198
Odisha,21.1551,86.4438,897.5,15.6,1.1,0.694,-0.185,31.8,0.5,759.5,6.5,9.27,652.05,gondite_archean,0.43
Goa,15.2144,74.2057,144.3,19.3,0.4,0.71,0.16,32.5,0.498,632.2,10.4,1.0,837.57,laterite,0.322
Madhya Pradesh,21.4441,78.7399,486.0,22.2,0.23,0.267,-0.005,37.2,0.412,400.3,57.1,2.84,48.83,gondite_archean,0.586
Karnataka,13.415,78.3641,204.5,13.6,0.27,0.283,0.168,25.2,0.514,494.1,43.5,19.73,863.53,archean,0.408
Andhra Pradesh,18.5248,82.6047,726.3,29.7,2.44,0.455,-0.16,35.5,0.417,398.4,32.6,1.66,426.6,kodurite_archean,0.251
Odisha,22.4957,83.5869,768.2,13.4,2.56,0.483,0.241,36.8,0.656,544.7,35.8,7.47,359.29,gondite_archean,0.548
Odisha,21.9149,86.8856,314.9,17.8,0.44,0.485,0.002,24.3,0.328,645.1,102.2,0.07,692.1,gondite_archean,0.574
Maharashtra,20.7825,79.2326,142.3,26.7,2.87,0.294,-0.106,24.9,0.422,831.2,72.6,6.57,43.46,gondite_archean,0.494
Karnataka,14.7316,76.7484,104.7,3.7,2.67,0.197,0.124,36.7,0.426,381.1,53.6,22.77,755.4,archean,0.355
Maharashtra,19.2165,79.8383,428.2,17.0,0.34,0.265,0.174,29.3,0.453,475.5,49.3,2.54,218.1,gondite_archean,0.497
Odisha,20.256,86.7226,565.3,19.1,1.87,0.37,0.184,30.4,0.647,792.2,57.4,11.55,700.35,gondite_archean,0.493
Odisha,19.609,83.8565,682.8,7.8,1.24,0.451,0.135,23.8,0.511,270.7,71.4,1.51,453.38,gondite_archean,0.493
Andhra Pradesh,18.5393,83.6117,659.6,15.0,0.59,0.549,0.015,32.2,0.551,456.1,-3.1,4.78,507.14,kodurite_archean,0.293
Maharashtra,20.9853,79.4892,815.8,10.1,1.35,0.689,0.238,33.0,0.512,943.2,24.7,4.33,26.46,gondite_archean,0.541
Odisha,20.4617,83.9724,336.9,20.5,1.44,0.358,0.148,36.3,0.468,1013.9,21.9,1.12,420.53,gondite_archean,0.522
Karnataka,17.2501,75.4854,150.6,5.5,2.6,0.53,-0.148,30.9,0.774,735.0,41.7,2.96,575.54,archean,0.445
Maharashtra,19.0403,79.2453,381.4,19.5,0.4,0.624,-0.169,32.8,0.593,1051.5,59.0,3.51,235.15,gondite_archean,0.651
Andhra Pradesh,17.9421,83.6424,696.3,13.9,1.05,0.426,0.191,36.9,0.712,622.5,35.9,13.89,551.14,kodurite_archean,0.273
Andhra Pradesh,18.1227,82.6787,450.2,8.8,1.02,0.613,-0.255,35.2,0.699,222.8,10.3,0.75,464.09,kodurite_archean,0.26
Jharkhand,23.6145,85.9193,278.9,32.7,1.16,0.247,0.038,37.1,0.541,466.9,27.0,41.72,622.26,archean,0.391
Maharashtra,19.1852,80.4857,426.3,10.8,1.76,0.333,-0.248,22.0,0.707,743.3,13.3,1.39,237.31,gondite_archean,0.43
Odisha,20.3556,86.2749,824.6,34.2,0.85,0.679,-0.103,23.8,0.6,963.0,32.1,2.71,652.4,gondite_archean,0.473
Maharashtra,20.1335,80.4786,143.8,13.1,1.55,0.452,-0.11,33.7,0.609,851.0,70.3,2.89,143.93,gondite_archean,0.575
Karnataka,14.0599,76.3695,328.5,33.7,1.08,0.209,0.016,22.9,0.492,594.5,-31.8,12.86,839.37,archean,0.256
Maharashtra,20.0658,79.1674,353.2,27.3,0.35,0.158,0.177,29.6,0.517,679.1,34.5,5.88,120.83,gondite_archean,0.582
Jharkhand,23.9315,85.4305,748.9,7.7,0.8,0.556,-0.057,36.9,0.523,483.1,18.8,7.72,587.78,archean,0.324
Odisha,22.4041,86.7016,233.6,5.1,0.44,0.696,-0.184,28.7,0.821,555.1,65.7,2.57,675.18,gondite_archean,0.478
Goa,15.5071,73.836,827.2,33.6,0.42,0.469,-0.118,28.3,0.477,169.2,9.7,0.69,837.21,laterite,0.235
Madhya Pradesh,22.1908,80.8474,447.7,7.6,0.74,0.611,-0.141,34.3,0.484,570.8,55.5,21.47,81.38,gondite_archean,0.511
Odisha,20.5747,84.0229,508.0,16.7,2.72,0.708,-0.07,29.9,0.385,695.7,5.5,0.43,421.06,gondite_archean,0.52
Odisha,21.9057,86.4802,486.5,15.1,2.94,0.27,-0.171,26.7,0.51,554.8,43.8,4.25,650.27,gondite_archean,0.508
Goa,15.0388,73.9051,552.7,21.9,0.31,0.392,0.089,33.2,0.271,637.2,5.7,1.1,872.75,laterite,0.158
Goa,15.3801,73.9586,713.0,17.9,1.07,0.637,0.22,32.8,0.45,302.6,-3.7,2.08,839.56,laterite,0.239
Goa,15.0161,74.1764,479.0,16.2,0.22,0.642,-0.084,30.7,0.582,627.2,10.6,4.08,857.09,laterite,0.308
Jharkhand,23.2842,85.5963,201.2,29.6,1.21,0.546,-0.018,25.2,0.445,689.0,59.0,4.58,580.17,archean,0.305
Maharashtra,21.0698,80.0425,131.1,7.6,1.7,0.711,0.201,35.5,0.484,428.4,7.9,0.25,42.21,gondite_archean,0.501
Goa,15.1926,73.92,166.7,32.6,1.82,0.55,0.247,27.5,0.39,442.1,20.6,11.65,858.37,laterite,0.197
Karnataka,14.4493,76.6342,100.2,9.2,0.78,0.3,0.184,26.5,0.522,382.1,19.2,0.65,789.08,archean,0.392
Karnataka,16.8597,76.7028,753.4,33.6,2.42,0.512,-0.004,22.6,0.517,683.7,39.8,2.68,539.01,archean,0.373
Madhya Pradesh,23.0537,77.5658,768.9,10.0,1.46,0.473,0.098,34.5,0.757,543.7,74.7,0.16,263.56,gondite_archean,0.506
Odisha,20.9612,86.5739,521.8,32.6,1.55,0.444,-0.228,34.8,0.608,729.6,88.9,12.06,668.52,gondite_archean,0.558
Odisha,21.3029,83.62,498.1,6.3,0.71,0.369,-0.041,32.0,0.561,619.4,45.8,8.12,360.03,gondite_archean,0.406
Madhya Pradesh,23.584,76.6849,712.1,15.7,1.56,0.539,-0.289,32.5,0.378,969.6,44.0,1.09,366.61,gondite_archean,0.55
Karnataka,15.8511,77.8423,134.9,9.0,2.69,0.155,-0.179,37.3,0.347,797.4,41.0,4.3,603.7,archean,0.363
Maharashtra,21.2957,79.3161,253.0,18.6,2.74,0.633,-0.261,33.1,0.663,810.2,40.8,16.93,28.49,gondite_archean,0.517
Karnataka,15.133,74.7818,322.5,12.0,2.85,0.32,-0.023,32.7,0.514,410.0,44.1,7.87,809.09,archean,0.403
Maharashtra,19.3157,80.3916,206.1,27.3,0.94,0.71,0.132,34.1,0.524,487.6,71.7,0.88,220.22,gondite_archean,0.573
Jharkhand,23.7804,85.5407,758.2,18.6,1.49,0.339,0.049,33.7,0.733,415.6,55.6,0.43,591.96,archean,0.489
Andhra Pradesh,18.1874,83.0248,293.4,17.4,2.68,0.377,0.15,23.5,0.5,507.6,-0.8,5.57,484.57,kodurite_archean,0.304
Odisha,20.7287,86.2303,717.0,8.8,2.78,0.506,-0.072,30.0,0.702,1194.0,70.5,1.55,638.12,gondite_archean,0.39
Andhra Pradesh,18.3126,82.7622,712.9,32.7,2.85,0.371,-0.219,30.3,0.401,362.4,-26.1,12.66,454.98,kodurite_archean,0.146
Karnataka,13.11,75.5688,507.3,6.0,1.91,0.489,0.129,37.0,0.455,584.7,44.5,28.62,968.99,archean,0.362
Andhra Pradesh,17.665,84.3949,438.7,1.3,1.44,0.178,0.026,27.4,0.752,399.6,26.1,4.55,631.96,kodurite_archean,0.342
Andhra Pradesh,18.8584,82.7395,525.5,10.7,0.33,0.551,0.218,24.6,0.513,574.0,11.4,18.74,412.6,kodurite_archean,0.308
Karnataka,15.5902,74.702,135.1,25.5,1.44,0.304,-0.186,32.7,0.482,179.0,-5.4,26.58,772.26,archean,0.216
Madhya Pradesh,21.082,77.4414,800.0,11.2,0.46,0.605,0.064,31.1,0.411,884.5,115.6,2.67,171.17,gondite_archean,0.617
Goa,15.674,74.1612,162.4,4.6,1.58,0.246,0.287,24.5,0.168,378.1,-13.0,4.5,800.55,laterite,0.167
Odisha,22.1633,83.642,831.0,29.3,1.03,0.624,-0.281,37.5,0.331,831.5,23.7,36.34,359.25,gondite_archean,0.433
Odisha,21.4647,85.0496,859.1,9.4,1.69,0.439,0.122,23.1,0.491,656.7,18.8,6.82,504.69,gondite_archean,0.495
Odisha,22.0849,86.7976,514.8,13.0,0.86,0.18,-0.139,32.5,0.641,790.3,78.4,5.38,683.22,gondite_archean,0.474
Karnataka,13.7405,76.3198,476.6,25.0,2.83,0.348,-0.275,29.9,0.369,693.7,38.3,4.84,874.64,archean,0.432
Madhya Pradesh,23.9736,77.8411,398.6,17.8,1.82,0.263,0.241,32.8,0.466,832.0,14.8,0.66,339.14,gondite_archean,0.476
Madhya Pradesh,22.4097,78.7105,171.4,15.7,0.69,0.742,0.037,33.0,0.482,724.1,84.9,0.2,145.46,gondite_archean,0.525
Andhra Pradesh,18.3049,83.0564,149.3,6.5,2.71,0.562,-0.15,23.0,0.551,864.1,-26.2,1.96,478.09,kodurite_archean,0.257
Maharashtra,21.4267,78.8514,577.7,15.4,1.45,0.302,0.195,29.8,0.336,863.1,16.1,9.37,39.46,gondite_archean,0.528
Karnataka,14.7025,76.3767,394.2,4.4,1.07,0.548,0.099,26.6,0.355,624.2,24.8,2.07,772.18,archean,0.405
Odisha,19.8822,85.7374,160.1,5.6,2.01,0.354,0.125,30.9,0.654,526.4,40.8,4.6,615.57,gondite_archean,0.421
Odisha,21.312,86.5497,899.1,21.7,1.33,0.285,-0.146,29.7,0.646,734.3,3.6,3.87,660.92,gondite_archean,0.371
Andhra Pradesh,18.4762,83.7283,367.3,28.8,0.31,0.672,0.008,28.4,0.721,502.9,-32.9,1.19,521.22,kodurite_archean,0.285
Karnataka,15.2261,76.1146,642.9,15.3,2.89,0.51,0.184,23.7,0.322,452.0,56.0,0.65,729.78,archean,0.413
Odisha,22.051,84.245,635.0,19.5,2.53,0.225,-0.222,30.9,0.546,901.5,63.3,21.33,420.23,gondite_archean,0.398
Andhra Pradesh,18.9932,82.5451,190.3,21.7,2.5,0.321,-0.156,34.6,0.451,402.8,89.1,10.43,387.28,kodurite_archean,0.342
Karnataka,15.9824,76.8415,538.1,22.8,0.93,0.201,-0.228,25.6,0.669,660.1,53.1,3.46,621.53,archean,0.466
Karnataka,14.5589,75.2675,149.0,21.1,2.97,0.25,-0.272,34.5,0.604,554.5,35.2,4.21,837.0,archean,0.4
Maharashtra,20.1621,79.7612,459.7,7.4,1.62,0.467,0.186,33.8,0.468,845.2,38.5,17.96,112.66,gondite_archean,0.611
Goa,15.0441,74.2103,130.2,13.5,1.72,0.239,0.148,22.1,0.475,179.7,20.9,9.78,852.42,laterite,0.192
Maharashtra,19.9859,78.5026,196.1,19.2,2.09,0.4,0.138,30.3,0.62,930.7,61.9,1.56,143.17,gondite_archean,0.487
Madhya Pradesh,24.1641,76.5614,636.2,7.4,1.95,0.352,-0.173,27.0,0.388,664.1,-9.3,10.91,423.82,gondite_archean,0.382
Jharkhand,22.8761,86.7221,552.7,6.3,2.13,0.458,0.09,36.2,0.629,633.1,26.9,7.4,683.34,archean,0.512
Karnataka,18.3934,77.1694,135.1,12.1,1.95,0.184,-0.286,29.2,0.436,278.9,10.7,9.35,366.52,archean,0.278
Karnataka,13.301,75.7784,573.4,3.5,0.61,0.194,0.187,34.0,0.619,853.8,21.8,8.22,940.84,archean,0.524
Odisha,21.3644,86.2226,500.3,13.2,0.98,0.536,0.116,35.9,0.702,641.6,63.3,6.0,626.63,gondite_archean,0.547
Karnataka,15.7562,77.4973,871.8,3.5,0.35,0.713,0.018,31.8,0.411,652.1,47.8,2.99,622.83,archean,0.489
Karnataka,17.446,74.7894,804.9,9.7,1.86,0.712,0.107,28.6,0.391,920.5,47.3,3.51,610.93,archean,0.54
Odisha,19.5932,85.4396,709.6,19.3,2.55,0.17,-0.08,25.8,0.468,761.1,35.0,33.88,599.55,gondite_archean,0.468
Madhya Pradesh,24.2579,74.0428,698.6,31.7,0.59,0.208,-0.045,36.9,0.758,1288.3,56.1,1.87,622.38,gondite_archean,0.588
Maharashtra,19.1967,79.7075,231.1,26.0,1.04,0.428,0.06,24.7,0.456,992.8,14.6,9.32,219.5,gondite_archean,0.512
Odisha,20.7761,84.3652,698.7,9.9,2.67,0.685,-0.182,31.8,0.536,625.5,62.2,7.84,448.3,gondite_archean,0.604
Odisha,20.6341,83.8603,675.2,18.1,2.18,0.299,-0.105,27.3,0.563,784.3,-32.4,0.25,402.9,gondite_archean,0.526
Andhra Pradesh,17.5195,84.3895,491.4,12.6,2.79,0.165,0.049,30.8,0.426,223.4,49.1,0.01,641.79,kodurite_archean,0.313
Goa,15.1316,73.9168,310.8,2.3,0.54,0.742,-0.111,23.8,0.478,306.8,-1.4,0.17,863.88,laterite,0.27
Odisha,19.6695,83.8619,445.2,8.8,1.64,0.302,0.264,36.5,0.327,958.0,5.5,10.4,450.21,gondite_archean,0.332
Karnataka,17.5687,78.2764,368.8,20.1,0.47,0.27,-0.052,25.3,0.789,472.2,5.5,16.27,407.26,archean,0.456
Madhya Pradesh,22.5383,74.5379,471.8,28.9,1.92,0.649,-0.004,23.9,0.678,913.9,37.4,4.37,494.5,gondite_archean,0.436
Karnataka,13.5038,75.0455,257.4,2.9,0.75,0.156,0.076,27.1,0.368,385.9,31.0,6.28,952.28,archean,0.39
Madhya Pradesh,22.3547,79.1778,135.8,2.8,1.48,0.48,0.233,23.7,0.5,892.1,-1.7,4.09,120.29,gondite_archean,0.434
Odisha,21.0107,86.3057,453.2,17.7,2.58,0.574,-0.006,26.1,0.583,972.9,20.3,13.0,640.16,gondite_archean,0.456
Odisha,22.4763,83.9562,736.9,14.4,1.58,0.678,-0.052,30.6,0.655,556.2,82.6,9.96,396.13,gondite_archean,0.489
Odisha,19.7388,86.7914,308.5,30.0,2.62,0.614,-0.199,35.1,0.621,1061.3,7.8,1.04,724.49,gondite_archean,0.478
Karnataka,15.8042,75.9374,480.3,13.4,1.99,0.691,-0.202,28.1,0.561,462.3,35.4,2.62,681.01,archean,0.433
Jharkhand,22.1265,86.206,145.7,31.4,1.68,0.552,0.199,24.4,0.427,582.7,88.6,0.25,622.45,archean,0.417
Odisha,19.5984,84.9712,816.1,34.4,1.98,0.247,0.244,30.3,0.657,960.1,15.4,1.9,555.19,gondite_archean,0.531
Maharashtra,19.5493,79.3773,725.6,27.7,1.47,0.625,0.203,32.5,0.47,598.8,20.3,2.55,180.49,gondite_archean,0.463
Odisha,20.866,86.6795,183.6,25.5,2.12,0.207,0.254,31.1,0.716,641.7,59.9,0.32,681.1,gondite_archean,0.446
Andhra Pradesh,18.1723,83.7734,277.0,24.0,2.36,0.434,0.071,29.3,0.469,705.1,26.9,4.23,545.38,kodurite_archean,0.342
Odisha,20.7182,86.3918,282.1,18.8,2.46,0.362,0.085,25.9,0.581,732.8,31.4,15.45,654.8,gondite_archean,0.442
Karnataka,18.3248,78.4189,314.6,2.4,2.17,0.421,-0.24,33.3,0.637,784.8,-12.6,2.14,321.9,archean,0.344
Karnataka,15.5869,77.0271,305.7,33.3,0.68,0.729,-0.291,29.7,0.448,267.2,-14.5,4.29,655.74,archean,0.472
Maharashtra,20.7147,80.1665,300.0,21.7,1.84,0.372,-0.008,27.0,0.516,688.0,46.3,8.65,73.76,gondite_archean,0.474
Jharkhand,23.4594,85.1041,807.4,30.3,1.44,0.502,0.286,30.5,0.489,392.6,60.2,35.56,537.96,archean,0.394
Karnataka,12.3082,77.7047,583.5,7.8,1.59,0.595,0.162,30.0,0.404,1005.5,53.1,2.22,994.14,archean,0.413
Odisha,21.0895,84.515,603.1,5.0,2.03,0.32,-0.3,24.0,0.649,638.8,47.4,3.74,455.54,gondite_archean,0.502
Maharashtra,19.1588,79.2925,871.1,19.3,1.01,0.222,0.122,32.3,0.619,752.4,32.6,2.33,222.41,gondite_archean,0.519
Madhya Pradesh,23.8833,74.8252,854.4,28.0,0.71,0.577,-0.069,28.4,0.534,576.7,-19.8,3.61,533.12,gondite_archean,0.434
Odisha,21.5566,85.0268,255.8,28.7,2.45,0.442,-0.121,32.2,0.443,623.6,27.4,22.01,501.53,gondite_archean,0.404
Madhya Pradesh,22.2769,80.9871,416.0,12.4,0.78,0.377,-0.11,32.8,0.634,443.6,54.8,3.79,98.65,gondite_archean,0.503
Maharashtra,19.6377,78.7541,146.8,11.4,0.64,0.254,0.156,22.3,0.311,978.7,109.9,3.01,171.76,gondite_archean,0.574
Odisha,21.7002,86.5495,254.1,4.3,2.71,0.36,0.031,27.8,0.589,580.8,2.6,4.81,657.88,gondite_archean,0.449
Maharashtra,20.4761,78.6938,538.4,24.9,2.42,0.527,-0.208,33.4,0.351,595.7,10.8,7.15,85.51,gondite_archean,0.503
Goa,15.6382,74.2607,882.8,1.4,1.94,0.398,0.216,26.0,0.446,461.7,23.8,0.18,796.86,laterite,0.191
Andhra Pradesh,17.5209,83.8142,392.1,21.8,2.15,0.355,-0.235,23.1,0.541,1018.1,18.5,4.39,596.17,kodurite_archean,0.44
Karnataka,12.1719,75.8422,880.8,30.7,1.12,0.503,0.208,29.1,0.58,662.2,17.6,1.68,1056.42,archean,0.424
Maharashtra,21.1036,79.7354,615.5,2.0,2.52,0.623,-0.145,33.3,0.497,681.6,15.8,5.68,11.53,gondite_archean,0.44
Karnataka,13.7594,74.6167,584.1,14.5,1.04,0.67,0.148,35.7,0.388,657.0,4.3,4.66,948.73,archean,0.427
Odisha,21.9759,83.9408,822.5,30.4,1.5,0.597,0.072,34.8,0.73,712.3,55.8,5.33,388.52,gondite_archean,0.545
Karnataka,17.103,77.7863,543.6,7.1,1.51,0.731,0.152,35.0,0.516,557.8,54.9,0.4,470.38,archean,0.483
Andhra Pradesh,18.3226,82.8946,353.8,10.6,1.69,0.181,-0.205,35.0,0.426,409.4,43.0,11.54,464.24,kodurite_archean,0.09
Karnataka,17.1341,76.9734,190.5,6.3,1.42,0.388,0.146,31.3,0.383,582.4,38.8,4.41,498.81,archean,0.299
Karnataka,13.1094,77.1516,782.0,9.8,1.58,0.735,-0.1,31.5,0.545,502.0,51.8,9.74,917.44,archean,0.48
Madhya Pradesh,22.5747,80.867,865.5,18.0,2.81,0.5,0.023,29.3,0.567,455.5,15.6,31.56,111.46,gondite_archean,0.312
Karnataka,14.9392,75.0341,138.4,27.4,1.8,0.606,-0.21,31.1,0.421,510.6,11.1,34.07,812.76,archean,0.32
Karnataka,12.8471,75.2963,570.2,3.2,2.61,0.727,-0.152,29.2,0.524,636.6,-10.7,1.85,1007.34,archean,0.371
Madhya Pradesh,22.4568,75.4373,651.3,20.2,2.6,0.22,0.171,32.8,0.602,643.0,54.7,1.22,404.12,gondite_archean,0.487
Madhya Pradesh,22.3369,81.6545,364.0,33.7,2.72,0.312,0.182,37.9,0.511,462.3,-8.4,0.12,163.25,gondite_archean,0.44
Odisha,20.3458,85.0526,236.9,30.7,2.17,0.201,0.09,32.5,0.577,763.1,42.3,11.61,530.77,gondite_archean,0.492
Odisha,21.0416,84.3105,245.0,28.6,0.58,0.431,0.263,25.0,0.41,822.2,20.2,2.96,435.79,gondite_archean,0.365
Odisha,22.4167,84.0368,686.7,1.0,1.87,0.7,-0.127,25.0,0.717,967.2,10.4,2.32,403.18,gondite_archean,0.611
Jharkhand,23.8466,85.9146,777.0,16.4,1.39,0.244,-0.044,30.6,0.514,581.3,45.9,8.07,630.18,archean,0.454
Goa,15.0144,74.0785,729.9,19.4,1.11,0.232,0.233,29.5,0.467,616.7,35.5,8.61,863.54,laterite,0.271
Karnataka,15.3386,77.7122,398.9,14.2,0.47,0.699,-0.245,32.4,0.314,344.1,17.1,7.21,662.36,archean,0.372
Maharashtra,21.0705,78.8411,817.9,23.3,2.67,0.441,0.025,36.7,0.546,963.9,20.6,3.93,27.29,gondite_archean,0.468
Odisha,20.3057,86.5137,155.9,24.0,0.68,0.357,-0.263,26.3,0.61,837.5,33.5,5.08,677.87,gondite_archean,0.409
Andhra Pradesh,18.6442,83.5262,636.6,29.8,0.23,0.392,0.244,33.8,0.675,1004.7,24.1,8.52,493.02,kodurite_archean,0.228
Karnataka,16.642,77.9449,223.7,16.4,1.34,0.562,-0.15,32.2,0.494,858.6,22.6,24.03,515.53,archean,0.382
Jharkhand,22.1954,85.03,228.9,34.9,0.7,0.452,0.209,22.3,0.337,802.8,18.2,9.29,501.94,archean,0.425
Maharashtra,19.5537,78.5696,427.4,10.8,2.47,0.63,-0.026,31.7,0.7,854.5,-2.6,2.46,185.6,gondite_archean,0.484
Madhya Pradesh,22.572,77.521,172.9,25.4,0.8,0.268,-0.052,25.6,0.342,1017.5,80.7,1.82,226.32,gondite_archean,0.393
Odisha,22.1413,85.018,429.7,2.2,1.59,0.483,0.035,33.3,0.494,635.9,38.2,1.93,500.31,gondite_archean,0.419
Odisha,20.4765,84.0029,667.9,19.1,0.6,0.156,0.185,24.8,0.365,992.1,-4.6,0.73,422.9,gondite_archean,0.486
Odisha,20.0642,84.9981,626.6,10.0,0.23,0.461,0.063,37.4,0.465,1272.2,56.9,14.1,536.28,gondite_archean,0.556
Karnataka,13.5422,75.5505,503.5,26.3,1.61,0.191,0.134,34.9,0.637,410.1,52.5,14.93,925.47,archean,0.37
Madhya Pradesh,23.4203,81.0668,496.6,11.7,2.31,0.282,-0.067,35.9,0.48,1091.3,23.3,2.67,201.85,gondite_archean,0.43
Odisha,21.73,84.3822,463.3,14.1,2.95,0.385,-0.252,23.4,0.763,1089.0,-1.6,0.44,434.01,gondite_archean,0.404
Karnataka,15.2808,75.0982,183.1,5.2,0.48,0.516,-0.182,26.0,0.471,768.3,1.9,5.42,776.84,archean,0.352
