state,lat,lng,elevation,ndvi,land_surface_temp,soil_moisture,rainfall,geology_type,prospectivity_score
Madhya Pradesh,23.211,78.15,140.9,0.29,29.9,0.143,899.9,gondite_archean,0.505
Odisha,20.892,83.9665,842.2,0.671,33.3,0.082,1553.5,gondite_archean,0.739
Andhra Pradesh,18.6516,82.7279,615.1,0.651,31.2,0.244,1204.2,kodurite_archean,0.392
Madhya Pradesh,21.2851,77.4801,334.1,0.477,24.1,0.257,1574.5,gondite_archean,0.717
Odisha,19.8129,84.0093,801.7,0.467,29.5,0.082,1414.5,gondite_archean,0.702
Madhya Pradesh,21.2635,74.8992,139.4,0.304,24.2,0.128,1123.6,gondite_archean,0.667
Goa,15.4883,74.2175,668.3,0.218,33.8,0.133,1403.0,laterite,0.17
Goa,15.0197,74.1483,680.3,0.652,37.6,0.343,771.8,laterite,0.256
Andhra Pradesh,18.4695,83.7947,202.7,0.54,37.7,0.324,1183.0,kodurite_archean,0.406
Andhra Pradesh,18.5522,83.4187,144.1,0.406,29.5,0.329,1405.2,kodurite_archean,0.367
Karnataka,15.4146,74.7642,878.1,0.366,29.6,0.157,1450.8,archean,0.63
Odisha,20.447,83.9384,624.4,0.174,31.6,0.311,1679.9,gondite_archean,0.729
Karnataka,14.9855,74.8079,636.6,0.643,25.9,0.176,1622.7,archean,0.58
Madhya Pradesh,21.6737,74.815,828.9,0.642,34.2,0.065,1628.1,gondite_archean,0.765
Karnataka,14.2256,76.6859,173.1,0.604,31.3,0.106,907.1,archean,0.65
Odisha,19.647,85.5047,755.6,0.346,27.6,0.229,1001.6,gondite_archean,0.691
Odisha,21.7057,85.6898,564.6,0.595,32.8,0.112,1087.7,gondite_archean,0.77
Jharkhand,23.2567,85.3682,184.5,0.638,31.3,0.235,1559.6,archean,0.636
Maharashtra,21.0861,78.6124,698.0,0.661,26.6,0.242,1045.6,gondite_archean,0.652
Maharashtra,19.4397,78.9708,495.5,0.699,25.4,0.093,1534.9,gondite_archean,0.762
Karnataka,17.9266,75.0865,616.7,0.29,24.5,0.255,1353.1,archean,0.477
Karnataka,14.6356,78.4364,333.8,0.327,27.7,0.219,977.6,archean,0.602
Goa,15.2125,74.2479,182.8,0.544,36.5,0.101,1765.2,laterite,0.351
Maharashtra,19.754,78.8766,343.0,0.206,24.3,0.081,1165.2,gondite_archean,0.627
Maharashtra,19.3535,78.7606,614.7,0.268,23.6,0.1,1716.1,gondite_archean,0.627
Madhya Pradesh,22.8805,79.417,646.1,0.527,26.3,0.062,1201.1,gondite_archean,0.77
Goa,15.4556,74.2162,893.3,0.248,33.1,0.252,1778.0,laterite,0.314
Odisha,21.8421,86.6857,406.3,0.528,28.9,0.181,1041.4,gondite_archean,0.658
Maharashtra,21.3404,80.3815,239.8,0.675,33.8,0.126,774.0,gondite_archean,0.748
Madhya Pradesh,23.5237,76.0572,675.5,0.167,28.0,0.238,860.7,gondite_archean,0.615
Andhra Pradesh,17.8525,83.8046,424.2,0.508,23.7,0.055,1700.5,kodurite_archean,0.45
Jharkhand,22.4229,85.5303,630.3,0.729,36.7,0.201,1574.6,archean,0.582
Odisha,22.4323,86.8752,231.0,0.33,23.6,0.132,1597.6,gondite_archean,0.621
Karnataka,18.379,77.0187,432.9,0.25,37.8,0.296,1009.6,archean,0.505
Odisha,19.6699,83.9213,564.6,0.707,29.9,0.303,1190.5,gondite_archean,0.826
Odisha,20.5836,85.7306,156.6,0.367,30.6,0.349,1222.0,gondite_archean,0.757
Andhra Pradesh,18.1481,84.0928,576.3,0.682,28.6,0.231,1393.0,kodurite_archean,0.362
Odisha,19.55,86.5574,289.2,0.277,33.8,0.146,1256.6,gondite_archean,0.637
Odisha,22.3792,86.4805,791.0,0.394,34.2,0.093,709.5,gondite_archean,0.662
Karnataka,15.3671,74.5299,438.1,0.581,29.1,0.27,956.3,archean,0.561
Andhra Pradesh,18.3826,82.9215,289.4,0.527,35.3,0.175,984.1,kodurite_archean,0.418
Karnataka,15.1714,75.317,601.4,0.365,37.9,0.194,1234.5,archean,0.598
Madhya Pradesh,24.2086,80.4065,460.9,0.581,31.4,0.198,911.5,gondite_archean,0.598
Goa,15.2683,74.2761,526.4,0.529,30.7,0.089,1113.4,laterite,0.267
Odisha,21.3689,85.0641,722.4,0.282,24.6,0.172,1719.2,gondite_archean,0.626
Karnataka,12.5474,78.4383,633.1,0.321,31.4,0.083,1762.4,archean,0.651
Odisha,21.4441,84.3591,674.0,0.616,32.8,0.234,1681.7,gondite_archean,0.727
Odisha,22.464,84.8629,686.1,0.561,25.4,0.122,1009.4,gondite_archean,0.662
Karnataka,13.5231,74.5786,803.5,0.729,27.5,0.152,707.8,archean,0.66
Odisha,19.979,86.2653,593.0,0.177,32.0,0.143,1105.6,gondite_archean,0.667
Maharashtra,21.0273,79.3007,857.7,0.394,34.3,0.195,1687.3,gondite_archean,0.653
Andhra Pradesh,18.7752,83.0783,861.8,0.18,24.4,0.211,1333.4,kodurite_archean,0.376
Madhya Pradesh,21.0594,81.6829,135.7,0.236,22.2,0.22,1725.5,gondite_archean,0.738
Odisha,21.126,85.1085,499.2,0.193,33.0,0.201,1541.7,gondite_archean,0.688
Karnataka,12.971,77.093,237.9,0.673,31.8,0.097,1758.6,archean,0.55
Madhya Pradesh,21.8862,80.4295,754.3,0.737,30.0,0.186,1528.8,gondite_archean,0.761
Odisha,21.1407,85.4119,171.6,0.401,35.7,0.307,809.2,gondite_archean,0.667
Andhra Pradesh,17.6934,83.94,180.9,0.524,27.7,0.287,957.1,kodurite_archean,0.372
Madhya Pradesh,21.8249,79.7093,798.9,0.226,35.9,0.228,839.8,gondite_archean,0.559
Maharashtra,20.8972,78.7116,504.9,0.639,37.0,0.204,1745.3,gondite_archean,0.729
Madhya Pradesh,22.3797,80.7856,494.4,0.433,29.8,0.304,1615.1,gondite_archean,0.594
Karnataka,15.723,75.4533,735.2,0.442,27.3,0.082,962.7,archean,0.467
Goa,15.2441,73.8844,468.5,0.334,22.6,0.147,1298.5,laterite,0.112
Karnataka,18.2759,76.0094,306.6,0.296,29.3,0.278,926.6,archean,0.577
Maharashtra,19.0529,79.3379,720.7,0.353,31.0,0.111,1516.2,gondite_archean,0.695
Karnataka,16.6974,75.7769,824.7,0.226,24.9,0.198,790.1,archean,0.482
Odisha,22.3313,86.9177,401.0,0.704,30.7,0.131,1472.6,gondite_archean,0.806
Odisha,19.8409,83.5137,899.6,0.631,34.6,0.203,1030.1,gondite_archean,0.642
Odisha,20.354,84.8159,705.0,0.474,23.2,0.055,812.6,gondite_archean,0.721
Madhya Pradesh,23.8064,77.731,389.3,0.215,36.0,0.285,884.9,gondite_archean,0.636
Karnataka,15.1679,77.0004,856.9,0.498,30.6,0.065,769.2,archean,0.601
Odisha,22.0082,84.0418,340.9,0.299,28.0,0.126,1237.8,gondite_archean,0.723
Karnataka,18.4127,74.7237,213.7,0.182,32.0,0.066,1620.1,archean,0.716
Madhya Pradesh,21.5978,75.5815,355.1,0.506,25.4,0.085,1767.1,gondite_archean,0.804
Odisha,21.9081,86.2581,337.8,0.231,24.3,0.259,1407.1,gondite_archean,0.602
Odisha,22.0266,84.2326,158.0,0.572,28.4,0.326,1415.3,gondite_archean,0.77
Odisha,22.3436,84.405,369.8,0.391,22.8,0.199,835.7,gondite_archean,0.553
Maharashtra,21.0079,78.8068,393.2,0.374,24.4,0.29,1478.0,gondite_archean,0.616
Odisha,20.6002,83.8703,602.6,0.223,37.8,0.284,1129.3,gondite_archean,0.712
Madhya Pradesh,21.6107,77.0296,774.5,0.537,32.4,0.31,1683.4,gondite_archean,0.746
Goa,15.0759,74.0721,692.4,0.604,31.7,0.1,1577.2,laterite,0.281
Karnataka,13.1309,75.8499,114.5,0.39,30.8,0.236,1429.8,archean,0.571
Andhra Pradesh,17.8232,82.741,781.2,0.244,37.6,0.303,1251.0,kodurite_archean,0.423
Karnataka,18.0344,74.7625,539.5,0.505,32.4,0.127,1101.0,archean,0.459
Andhra Pradesh,17.7924,84.1537,550.1,0.607,33.4,0.112,1325.7,kodurite_archean,0.396
Jharkhand,22.9044,85.2856,411.5,0.721,27.1,0.31,1669.4,archean,0.708
Karnataka,12.5412,77.3982,349.2,0.62,29.1,0.196,1555.7,archean,0.529
Karnataka,14.3877,76.6038,747.0,0.367,30.4,0.251,996.4,archean,0.393
Odisha,22.3002,86.0324,561.7,0.539,22.5,0.235,1260.5,gondite_archean,0.569
Odisha,20.08,86.8276,427.0,0.43,22.8,0.061,1488.9,gondite_archean,0.731
Madhya Pradesh,22.7805,75.945,695.8,0.251,25.0,0.188,1014.9,gondite_archean,0.698
Madhya Pradesh,23.8858,77.3417,158.5,0.314,37.7,0.229,1480.7,gondite_archean,0.588
Odisha,21.0546,83.6314,555.4,0.702,37.5,0.212,1204.0,gondite_archean,0.756
Odisha,20.8972,84.3409,475.8,0.423,31.3,0.157,880.7,gondite_archean,0.703
Karnataka,17.3963,77.156,370.7,0.711,36.6,0.113,743.4,archean,0.638
Jharkhand,23.7797,86.2011,524.0,0.167,25.9,0.188,1391.4,archean,0.541
Madhya Pradesh,23.5992,76.2381,552.0,0.203,28.6,0.275,1462.7,gondite_archean,0.513
Karnataka,17.5702,77.2368,806.0,0.272,36.0,0.068,1677.5,archean,0.519
Karnataka,14.0448,76.5484,852.6,0.179,27.6,0.307,1135.7,archean,0.487
Karnataka,17.9502,77.5477,504.1,0.743,29.4,0.067,988.5,archean,0.501
Karnataka,13.0199,78.2903,713.5,0.311,31.5,0.266,1735.4,archean,0.552
Maharashtra,20.4054,79.6054,191.8,0.226,30.5,0.131,723.1,gondite_archean,0.701
Maharashtra,19.0812,79.6906,531.4,0.731,29.7,0.069,1306.9,gondite_archean,0.612
Goa,15.153,74.1077,424.6,0.175,27.6,0.13,1454.7,laterite,0.176
Goa,15.2144,74.2057,144.3,0.473,23.1,0.33,1543.0,laterite,0.38
Madhya Pradesh,24.3913,79.7117,839.7,0.46,23.9,0.208,839.6,gondite_archean,0.721
Madhya Pradesh,22.6887,78.9806,108.0,0.267,29.9,0.335,1122.0,gondite_archean,0.785
Madhya Pradesh,22.0462,77.2865,274.2,0.73,24.1,0.162,728.4,gondite_archean,0.691
Odisha,21.8414,84.2041,164.1,0.435,22.2,0.075,1588.4,gondite_archean,0.699
Andhra Pradesh,18.5248,82.6047,726.3,0.657,34.8,0.203,956.2,kodurite_archean,0.426
Andhra Pradesh,18.5907,84.4615,224.6,0.285,25.4,0.288,905.6,kodurite_archean,0.424
Madhya Pradesh,24.1557,81.4095,107.3,0.195,26.0,0.251,1677.1,gondite_archean,0.632
Karnataka,15.9453,75.254,744.0,0.73,26.3,0.198,794.7,archean,0.61
Odisha,20.8262,84.6694,517.5,0.501,22.1,0.278,1484.3,gondite_archean,0.924
Karnataka,12.3441,77.5197,864.1,0.294,27.2,0.105,1334.6,archean,0.49
Maharashtra,20.4003,79.2729,436.2,0.487,22.1,0.074,1669.4,gondite_archean,0.632
Odisha,21.6204,86.7201,316.5,0.372,31.1,0.315,1736.1,gondite_archean,0.678
Maharashtra,20.0258,79.4414,139.3,0.265,34.6,0.186,1031.8,gondite_archean,0.665
Karnataka,17.5536,77.496,317.9,0.221,26.0,0.326,1339.7,archean,0.693
Karnataka,17.2462,76.5931,193.4,0.227,30.6,0.331,1039.2,archean,0.578
Andhra Pradesh,18.6461,82.9956,129.1,0.211,33.7,0.11,1108.4,kodurite_archean,0.45
Odisha,20.7191,85.1978,532.7,0.641,24.7,0.292,1462.2,gondite_archean,0.749
Madhya Pradesh,23.4483,77.2961,210.7,0.549,30.4,0.242,1071.8,gondite_archean,0.726
Odisha,20.8494,86.1472,735.3,0.447,36.3,0.13,1151.7,gondite_archean,0.743
Goa,15.717,74.1429,787.2,0.203,35.8,0.146,896.2,laterite,0.185
Odisha,20.4617,83.9724,336.9,0.493,29.1,0.154,1521.1,gondite_archean,0.603
Goa,15.6054,73.966,695.6,0.241,24.1,0.154,1588.5,laterite,0.152
Madhya Pradesh,22.8465,79.2435,286.6,0.669,26.9,0.258,717.7,gondite_archean,0.78
Karnataka,14.2861,76.6739,158.2,0.624,25.5,0.253,1583.5,archean,0.72
Maharashtra,19.8888,80.1177,335.8,0.493,33.9,0.164,1033.0,gondite_archean,0.723
Karnataka,17.3168,78.2197,536.1,0.547,36.5,0.08,955.3,archean,0.616
Andhra Pradesh,18.1227,82.6787,450.2,0.288,26.7,0.282,783.1,kodurite_archean,0.387
Andhra Pradesh,18.1415,83.6921,171.7,0.352,23.4,0.338,1588.0,kodurite_archean,0.283
Goa,15.2757,73.8805,550.5,0.716,22.1,0.121,1732.3,laterite,0.326
Odisha,19.8397,85.4957,789.5,0.436,37.9,0.254,781.5,gondite_archean,0.718
Karnataka,12.562,74.5057,459.7,0.652,31.2,0.35,1015.5,archean,0.484
Odisha,19.9792,84.0742,328.1,0.626,36.5,0.343,955.5,gondite_archean,0.712
Odisha,22.1101,85.7264,231.8,0.408,26.6,0.271,1198.8,gondite_archean,0.746
Jharkhand,22.1095,85.71,485.5,0.452,27.1,0.269,1662.2,archean,0.588
Andhra Pradesh,17.9553,83.297,353.5,0.43,26.6,0.338,1044.1,kodurite_archean,0.471
Odisha,21.0805,83.6998,188.4,0.282,29.4,0.18,1579.7,gondite_archean,0.634
Karnataka,14.057,77.596,141.7,0.158,34.7,0.193,844.0,archean,0.598
Odisha,22.2975,86.5083,667.8,0.439,30.3,0.343,1762.3,gondite_archean,0.764
Odisha,20.1406,85.8663,424.0,0.709,23.4,0.203,1710.4,gondite_archean,0.721
Goa,15.1252,73.9833,595.3,0.246,37.5,0.324,883.6,laterite,0.15
Madhya Pradesh,21.2511,75.8141,845.2,0.695,34.5,0.056,1059.7,gondite_archean,0.572
Madhya Pradesh,21.9632,81.2767,607.1,0.193,36.5,0.337,785.5,gondite_archean,0.512
Karnataka,13.1677,76.8123,866.4,0.452,23.3,0.236,1074.2,archean,0.578
Andhra Pradesh,18.152,82.8857,252.9,0.611,26.2,0.28,926.5,kodurite_archean,0.39
Goa,15.7454,73.9034,386.6,0.24,30.2,0.188,1690.8,laterite,0.113
Goa,15.3069,74.0459,817.0,0.634,22.1,0.146,1164.0,laterite,0.263
Odisha,21.4301,84.4188,141.9,0.289,34.8,0.305,1231.4,gondite_archean,0.629
Karnataka,18.356,75.3023,272.3,0.325,24.8,0.164,1701.9,archean,0.447
Goa,15.0388,73.9051,552.7,0.519,22.6,0.171,1414.1,laterite,0.422
Maharashtra,20.5953,79.1411,174.8,0.406,24.1,0.334,1222.7,gondite_archean,0.775
Karnataka,14.0152,77.7479,793.7,0.554,22.8,0.22,1539.6,archean,0.536
Odisha,20.186,86.5887,116.1,0.602,29.6,0.184,707.8,gondite_archean,0.675
Madhya Pradesh,23.3706,79.621,864.8,0.469,28.4,0.336,1406.3,gondite_archean,0.793
Odisha,19.8794,86.4489,389.7,0.546,29.5,0.11,1361.9,gondite_archean,0.699
Madhya Pradesh,22.5262,79.9894,762.3,0.613,22.6,0.108,1290.3,gondite_archean,0.674
Goa,15.668,74.2213,342.6,0.408,29.5,0.097,734.2,laterite,0.233
Goa,15.4638,74.1335,829.3,0.357,31.9,0.062,905.4,laterite,0.23
Andhra Pradesh,18.6502,83.2013,401.4,0.47,22.0,0.122,929.1,kodurite_archean,0.425
Odisha,20.0746,85.2649,792.5,0.295,23.3,0.157,1522.4,gondite_archean,0.624
Madhya Pradesh,23.8588,81.6767,734.1,0.512,29.9,0.062,1782.8,gondite_archean,0.634
Maharashtra,19.7107,79.6716,569.4,0.417,35.4,0.129,1193.5,gondite_archean,0.655
Madhya Pradesh,23.3227,80.2718,415.8,0.538,24.4,0.33,1121.4,gondite_archean,0.717
Andhra Pradesh,18.2909,84.3597,487.0,0.444,23.9,0.291,971.7,kodurite_archean,0.284
Goa,15.7287,74.2717,516.2,0.556,34.5,0.089,1361.1,laterite,0.295
Odisha,20.0488,84.7777,445.9,0.524,23.2,0.201,900.9,gondite_archean,0.663
Madhya Pradesh,23.2309,78.4537,690.6,0.351,34.2,0.18,1232.6,gondite_archean,0.756
Karnataka,12.5577,74.8637,838.6,0.564,24.0,0.157,1351.7,archean,0.686
Andhra Pradesh,17.5655,82.9733,811.8,0.155,25.2,0.338,1374.7,kodurite_archean,0.331
Odisha,20.2342,86.5852,432.7,0.582,36.7,0.172,910.4,gondite_archean,0.702
Karnataka,17.9025,77.7175,152.7,0.566,31.2,0.322,834.7,archean,0.654
Karnataka,15.133,74.7818,322.5,0.345,37.1,0.135,1207.0,archean,0.535
Maharashtra,19.4055,79.4729,690.8,0.67,32.0,0.251,838.9,gondite_archean,0.681
Goa,15.576,74.1769,275.2,0.416,31.9,0.281,814.4,laterite,0.332
Jharkhand,23.7804,85.5407,758.2,0.461,29.4,0.144,1339.1,archean,0.514
Madhya Pradesh,23.4476,79.689,141.6,0.666,29.3,0.129,965.9,gondite_archean,0.833
Karnataka,17.7644,76.0134,699.8,0.208,29.6,0.348,1547.5,archean,0.532
Odisha,20.7287,86.2303,717.0,0.287,36.8,0.228,1117.9,gondite_archean,0.558
Karnataka,15.933,76.7396,489.1,0.453,24.8,0.294,1295.9,archean,0.594
Goa,15.7578,73.9845,208.4,0.461,23.8,0.33,901.9,laterite,0.253
Odisha,20.7199,84.8411,735.7,0.424,24.7,0.13,1260.0,gondite_archean,0.706
Madhya Pradesh,23.5015,81.5016,829.8,0.718,25.9,0.089,1032.5,gondite_archean,0.658
Goa,15.7776,74.2297,188.0,0.718,28.8,0.053,1186.6,laterite,0.324
Karnataka,15.0773,76.9527,795.0,0.547,28.9,0.296,1696.1,archean,0.556
Odisha,21.0958,84.4958,137.6,0.551,35.8,0.099,1593.7,gondite_archean,0.746
Karnataka,15.5902,74.702,135.1,0.582,29.1,0.127,909.5,archean,0.549
Maharashtra,19.001,80.1118,163.4,0.265,28.2,0.195,1090.5,gondite_archean,0.662
Madhya Pradesh,21.082,77.4414,800.0,0.331,23.5,0.278,1366.6,gondite_archean,0.678
Madhya Pradesh,21.1875,75.124,598.0,0.275,30.1,0.213,1011.9,gondite_archean,0.628
Odisha,20.9783,84.0625,882.6,0.245,29.8,0.159,1403.3,gondite_archean,0.668
Odisha,20.7909,84.4615,810.2,0.174,36.6,0.3,1027.3,gondite_archean,0.645
Karnataka,14.3568,74.7656,891.5,0.174,32.5,0.183,1743.8,archean,0.55
Odisha,21.0963,85.1882,662.3,0.191,25.1,0.114,1512.0,gondite_archean,0.663
Odisha,22.0849,86.7976,514.8,0.361,25.7,0.065,995.4,gondite_archean,0.565
Madhya Pradesh,22.8677,81.5523,417.0,0.566,29.8,0.204,994.6,gondite_archean,0.597
Maharashtra,21.3516,79.1586,133.8,0.448,30.7,0.101,1536.5,gondite_archean,0.517
Jharkhand,23.8915,85.3942,800.3,0.573,29.3,0.212,1634.6,archean,0.432
Karnataka,15.7643,75.2563,820.7,0.555,32.1,0.08,1364.6,archean,0.544
Odisha,19.7361,85.3456,422.2,0.503,23.4,0.179,892.3,gondite_archean,0.696
Maharashtra,19.8135,78.6895,880.7,0.322,28.8,0.245,727.2,gondite_archean,0.678
Andhra Pradesh,18.3049,83.0564,149.3,0.247,36.3,0.256,974.9,kodurite_archean,0.356
Madhya Pradesh,22.4158,76.9089,273.5,0.552,37.5,0.103,1356.8,gondite_archean,0.679
